,Id2,city_state,agg_commute_mins,median_household_inc,bach_or_higher_percent,estab_2011,estab_2016,pop_2011,pop_2016,biz_growth_Y,lat,lng,city,state,tax_rank,corp_tax_rank,income_tax_rank,sales_tax_rank,property_tax_rank,unemployment_tax_rank
253,16620,"Charleston, WV",1882495,41689,22.7,7086.0,5228.0,304270.0,219579.0,2.235744159669252,38.3498195,-81.6326234,Charleston,WV,19,13,28,17,18,30
254,34060,"Morgantown, WV",1347130,50120,32.7,2743.0,2868.0,132251.0,138380.0,-0.07389080151833079,39.629526,-79.95589679999998,Morgantown,WV,19,13,28,17,18,30
255,37620,"Parkersburg-Vienna, WV",669195,46594,23.9,3715.0,2079.0,162488.0,90554.0,0.4174816118434198,39.282148,-81.5377013,Parkersburg-Vienna,WV,19,13,28,17,18,30
256,16700,"Charleston-North Charleston, SC",9017690,57659,34.8,16376.0,18583.0,682121.0,761155.0,1.6942300958384904,32.8771106,-80.01305140000001,Charleston-North Charleston,SC,35,19,34,34,27,27
257,17900,"Columbia, SC",9051235,52247,32.9,16681.0,17207.0,775897.0,816450.0,-1.9703266177675467,34.0007104,-81.0348144,Columbia,SC,35,19,34,34,27,27
258,22500,"Florence, SC",1932180,42200,20.7,4228.0,4211.0,206161.0,205976.0,-0.3126262076293739,34.1954331,-79.7625625,Florence,SC,35,19,34,34,27,27
259,24860,"Greenville-Anderson-Mauldin, SC",9199395,50644,28.7,14950.0,19520.0,647401.0,884975.0,-4.482931692891198,34.778729999999996,-82.310119,Greenville-Anderson-Mauldin,SC,35,19,34,34,27,27
260,43900,"Spartanburg, SC",3379800,46554,21.2,6142.0,6639.0,286868.0,329136.0,-5.789442173266815,34.949567200000004,-81.93204820000001,Spartanburg,SC,35,19,34,34,27,27
261,44940,"Sumter, SC",963350,40614,19.5,1784.0,1773.0,107460.0,107396.0,-0.5573668349832859,33.9204354,-80.3414693,Sumter,SC,35,19,34,34,27,27
262,17420,"Cleveland, TN",1188345,44881,21.4,2065.0,2116.0,119879.0,123861.0,-0.8245597809760603,35.1595182,-84.8766115,Cleveland,TN,16,24,8,46,29,22
263,27180,"Jackson, TN",1031165,42373,19.1,2795.0,2956.0,116995.0,129527.0,-4.472236005304174,35.6145169,-88.81394689999998,Jackson,TN,16,24,8,46,29,22
264,27740,"Johnson City, TN",1816895,40943,25.5,3772.0,3781.0,199818.0,200449.0,-0.07694417443233363,36.3134397,-82.35347270000001,Johnson City,TN,16,24,8,46,29,22
265,28940,"Knoxville, TN",8861025,49862,29.2,15843.0,18087.0,704500.0,869076.0,-7.455128441968527,35.96063839999999,-83.9207392,Knoxville,TN,16,24,8,46,29,22
266,34100,"Morristown, TN",1073680,44348,17.1,2173.0,1996.0,137494.0,117320.0,7.649620477832178,36.2139814,-83.29489219999998,Morristown,TN,16,24,8,46,29,22
267,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",24157910,60030,34.2,37102.0,42739.0,1620403.0,1865535.0,0.0568145659071708,35.8456213,-86.39027,Nashville-Davidson--Murfreesboro--Franklin,TN,16,24,8,46,29,22
268,17860,"Columbia, MO",1511455,52752,43.9,4568.0,4671.0,175065.0,176594.0,1.369465455576052,38.95170529999999,-92.33407240000001,Columbia,MO,14,4,25,25,7,8
269,27620,"Jefferson City, MO",1394515,55031,27.1,3548.0,3597.0,152370.0,148915.0,3.733217435504264,38.57670170000001,-92.17351640000001,Jefferson City,MO,14,4,25,25,7,8
270,27900,"Joplin, MO",1391615,45876,20.0,4196.0,4041.0,176849.0,177805.0,-4.211800536941732,37.08422710000001,-94.513281,Joplin,MO,14,4,25,25,7,8
271,44180,"Springfield, MO",4431550,45337,26.5,10981.0,12003.0,438094.0,456434.0,4.914914742171859,37.20895720000001,-93.2922989,Springfield,MO,14,4,25,25,7,8
272,20100,"Dover, DE",2008270,54140,22.6,3177.0,3422.0,164834.0,174827.0,1.5549467717066603,39.158167999999996,-75.5243682,Dover,DE,11,50,41,2,9,3
273,22380,"Flagstaff, AZ",975490,55091,35.4,3529.0,3650.0,134511.0,140908.0,-1.2667673095845549,35.1982836,-111.651302,Flagstaff,AZ,27,17,19,47,5,13
274,29420,"Lake Havasu City-Kingman, AZ",1434415,42423,11.3,3600.0,3697.0,202351.0,205249.0,1.2444568683783013,34.483901,-114.32245479999999,Lake Havasu City-Kingman,AZ,27,17,19,47,5,13
275,38060,"Phoenix-Mesa-Scottsdale, AZ",52062550,58075,30.8,86667.0,94758.0,4263236.0,4661537.0,-0.006363910934556552,33.4151843,-111.83147240000001,Phoenix-Mesa-Scottsdale,AZ,27,17,19,47,5,13
276,39140,"Prescott, AZ",1788265,50420,24.0,5495.0,5825.0,211888.0,225562.0,-0.42079426336171,34.540024200000005,-112.46850249999999,Prescott,AZ,27,17,19,47,5,13
277,46060,"Tucson, AZ",9952415,47560,31.9,20059.0,20180.0,989569.0,1016206.0,-2.0338117404386193,32.2226066,-110.9747108,Tucson,AZ,27,17,19,47,5,13
278,49740,"Yuma, AZ",1520700,43518,15.4,2897.0,2963.0,200870.0,205631.0,-0.08984141586823634,32.6926512,-114.62769159999999,Yuma,AZ,27,17,19,47,5,13
279,25060,"Gulfport-Biloxi-Pascagoula, MS",3876770,46434,21.7,5137.0,7175.0,250611.0,391266.0,-10.53763834036451,30.4131137,-89.0727778,Gulfport-Biloxi-Pascagoula,MS,31,15,27,35,36,5
280,25620,"Hattiesburg, MS",1767070,46765,29.0,3305.0,3342.0,146509.0,148803.0,-0.4393785555480176,31.327118900000002,-89.29033919999998,Hattiesburg,MS,31,15,27,35,36,5
281,27140,"Jackson, MS",6313875,50632,29.9,12524.0,13146.0,545394.0,580178.0,-1.3266964989485643,32.298757300000005,-90.1848103,Jackson,MS,31,15,27,35,36,5
282,26300,"Hot Springs, AR",830565,42826,18.3,2663.0,2712.0,97124.0,97477.0,1.4712299078950066,34.50370039999999,-93.05517950000001,Hot Springs,AR,46,40,40,44,26,34
283,27860,"Jonesboro, AR",923275,41717,21.4,2760.0,2841.0,121569.0,129858.0,-3.6356744524286326,35.84229670000001,-90.704279,Jonesboro,AR,46,40,40,44,26,34
284,30780,"Little Rock-North Little Rock-Conway, AR",7375465,51501,30.7,17486.0,17904.0,708084.0,734381.0,-1.27595438593556,35.0886963,-92.44210109999999,Little Rock-North Little Rock-Conway,AR,46,40,40,44,26,34
285,38220,"Pine Bluff, AR",649990,37076,16.7,1642.0,1566.0,99334.0,94071.0,0.7072572792124066,34.2284312,-92.0031955,Pine Bluff,AR,46,40,40,44,26,34
286,29940,"Lawrence, KS",1365145,56345,52.0,2601.0,2713.0,112211.0,119440.0,-2.0069941284368618,38.971668900000004,-95.23525009999999,Lawrence,KS,28,34,21,31,20,15
287,45820,"Topeka, KS",2199490,56548,28.2,5314.0,5157.0,234380.0,233068.0,-2.4081654941617865,39.0473451,-95.6751576,Topeka,KS,28,34,21,31,20,15
288,48620,"Wichita, KS",6031980,53663,30.7,14404.0,14955.0,625039.0,645447.0,0.5425358304124013,37.68717609999999,-97.330053,Wichita,KS,28,34,21,31,20,15
289,30020,"Lawton, OK",803520,50980,20.4,2194.0,2273.0,125815.0,127762.0,2.0219294629940685,34.6035669,-98.3959291,Lawton,OK,26,9,33,39,19,1
290,36420,"Oklahoma City, OK",13937780,55065,29.8,33111.0,35526.0,1278053.0,1373211.0,-0.14136973800596495,35.4675602,-97.5164276,Oklahoma City,OK,26,9,33,39,19,1
291,46140,"Tulsa, OK",9441415,51623,27.2,23852.0,24403.0,947382.0,987958.0,-1.8918546212817229,36.1539816,-95.992775,Tulsa,OK,26,9,33,39,19,1
292,30700,"Lincoln, NE",3320505,59344,39.8,8208.0,8890.0,307165.0,326591.0,1.866627696546702,40.813615999999996,-96.7025955,Lincoln,NE,24,28,26,9,40,9
293,31700,"Manchester-Nashua, NH",5638615,76254,37.3,10635.0,10944.0,401696.0,407761.0,1.3748936540853562,42.7653662,-71.46756599999998,Manchester-Nashua,NH,6,45,9,1,44,44
294,36260,"Ogden-Clearfield, UT",6646710,70227,30.4,11273.0,13665.0,555437.0,656061.0,2.6267826542466524,41.1107771,-112.0260538,Ogden-Clearfield,UT,8,5,10,16,3,16
295,39340,"Provo-Orem, UT",5353710,69288,38.2,10907.0,13056.0,541710.0,602543.0,7.6176825342701235,40.2968979,-111.69464750000002,Provo-Orem,UT,8,5,10,16,3,16
296,41100,"St. George, UT",984155,55056,28.3,3844.0,4795.0,141666.0,160245.0,10.277364048008051,37.0965278,-113.5684164,St. George,UT,8,5,10,16,3,16
297,41620,"Salt Lake City, UT",12744160,68196,33.0,31390.0,32433.0,1145905.0,1186187.0,-0.18604582462897146,40.760779299999996,-111.89104740000002,Salt Lake City,UT,8,5,10,16,3,16
298,39660,"Rapid City, SD",1145225,51097,29.5,4251.0,4756.0,128361.0,143367.0,0.16929915874070933,44.0805434,-103.2310149,Rapid City,SD,3,1,1,33,28,39
299,43620,"Sioux Falls, SD",2440165,63931,34.1,6921.0,7645.0,232347.0,256479.0,0.06769545292968912,43.5473028,-96.72833299999999,Sioux Falls,SD,3,1,1,33,28,39
300,40340,"Rochester, MN",2157455,70078,36.7,4376.0,5141.0,187612.0,215884.0,2.096404386308485,44.0121221,-92.4801989,Rochester,MN,43,42,46,27,31,25
301,41060,"St. Cloud, MN",1973610,56620,25.1,5164.0,5328.0,190014.0,195644.0,0.20676674136195555,45.5579451,-94.1632404,St. Cloud,MN,43,42,46,27,31,25
