GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
310M300US30860,30860,"Logan, UT-ID Metro Area",1054020
310M300US30980,30980,"Longview, TX Metro Area",1985515
310M300US31020,31020,"Longview, WA Metro Area",972065
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",176595200
310M300US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",13984130
310M300US31180,31180,"Lubbock, TX Metro Area",2510095
310M300US31340,31340,"Lynchburg, VA Metro Area",2686150
310M300US31420,31420,"Macon-Bibb County, GA Metro Area",2002890
310M300US31460,31460,"Madera, CA Metro Area",1245070
310M300US31540,31540,"Madison, WI Metro Area",7296965
310M300US31700,31700,"Manchester-Nashua, NH Metro Area",5641825
310M300US31740,31740,"Manhattan, KS Metro Area",808410
310M300US31860,31860,"Mankato-North Mankato, MN Metro Area",884800
310M300US31900,31900,"Mansfield, OH Metro Area",1065110
310M300US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",6384475
310M300US32780,32780,"Medford, OR Metro Area",1551800
310M300US32820,32820,"Memphis, TN-MS-AR Metro Area",14168370
310M300US32900,32900,"Merced, CA Metro Area",2483185
310M300US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",76969885
310M300US33140,33140,"Michigan City-La Porte, IN Metro Area",989255
310M300US33220,33220,"Midland, MI Metro Area",760605
310M300US33260,33260,"Midland, TX Metro Area",1563225
310M300US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",17262590
310M300US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45104085
310M300US33540,33540,"Missoula, MT Metro Area",1026705
310M300US33660,33660,"Mobile, AL Metro Area",4067240
310M300US33700,33700,"Modesto, CA Metro Area",5724585
310M300US33740,33740,"Monroe, LA Metro Area",1491135
310M300US33780,33780,"Monroe, MI Metro Area",1606135
310M300US33860,33860,"Montgomery, AL Metro Area",3566035
310M300US34060,34060,"Morgantown, WV Metro Area",1345210
310M300US34100,34100,"Morristown, TN Metro Area",1104745
310M300US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",1279405
310M300US34620,34620,"Muncie, IN Metro Area",1029930
310M300US34740,34740,"Muskegon, MI Metro Area",1475935
310M300US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",3943685
310M300US34900,34900,"Napa, CA Metro Area",1581250
310M300US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",3331720
310M300US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",23478355
310M300US35100,35100,"New Bern, NC Metro Area",1208995
310M300US35300,35300,"New Haven-Milford, CT Metro Area",9977835
310M300US35380,35380,"New Orleans-Metairie, LA Metro Area",14312375
310M300US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",333150975
310M300US35660,35660,"Niles-Benton Harbor, MI Metro Area",1279270
310M300US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",6955690
310M300US35980,35980,"Norwich-New London, CT Metro Area",3080400
310M300US36100,36100,"Ocala, FL Metro Area",2795580
310M300US36140,36140,"Ocean City, NJ Metro Area",916320
310M300US36220,36220,"Odessa, TX Metro Area",1540830
310M300US36260,36260,"Ogden-Clearfield, UT Metro Area",6332970
310M300US36420,36420,"Oklahoma City, OK Metro Area",14003505
310M300US36500,36500,"Olympia-Tumwater, WA Metro Area",3037360
310M300US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",9178845
310M300US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",29936740
310M300US36780,36780,"Oshkosh-Neenah, WI Metro Area",1524045
310M300US36980,36980,"Owensboro, KY Metro Area",1004010
310M300US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",10069885
310M300US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",5432880
310M300US37460,37460,"Panama City, FL Metro Area",1922985
310M300US37620,37620,"Parkersburg-Vienna, WV Metro Area",779950
310M300US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",4772145
310M300US37900,37900,"Peoria, IL Metro Area",3423865
310M300US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",80969140
310M300US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",50117585
